"","year","state","name","votemargin","turnout","democraticvoteshare_president"
"1",2002,"AK","Peggy  Wilson",0.090787269681742,0.692306025140876,-0.277938121184707
"2",2002,"AK","Beth  Kerttula",0.151590198123045,0.782033259043374,-0.139368454646319
"3",2002,"AK","Karen  Parr",-0.0714659685863874,0.65898784690731,-0.237333410535939
"4",2002,"AK","Lisa  Murkowski",NA,NA,-0.144520378019661
"5",2002,"AK","Sharon  Cissna",0.0431377133504793,0.512614217836257,-0.181030138232745
"6",2002,"AK","Cheryll  Heinze",0.0438138209451437,0.552384743262544,-0.29104783970397
"7",2002,"AK","Lesil  McGuire",0.278640776699029,0.739540046815802,-0.239002811070532
"8",2002,"AK","Mary Sattler Kapsner",NA,NA,-0.0597603237256408
"9",2002,"AK","Georgianna  Lincoln",0.074811320754717,0.687811903101598,-0.043258398771286
"10",2002,"AK","Lyda N. Green",0.267342849987478,0.725438133082206,-0.031984838959761
"11",2002,"AK","Roberta C. Goughnour",-0.264824797843666,0.338911894083764,-0.112658360553905
"12",2002,"AK","Gretchen G. Guess",0.0033042558815755,0.51346075537005,-0.125472968467511
"13",2002,"AK","Patti C. Higgins",-0.0946664042511317,0.412991656734207,-0.127884045965038
"14",2002,"AL","Mary  Pettus",-0.0291501976284585,0.340163659534509,-0.199154833168723
"15",2002,"AL","Cathy  Hansberry",-0.021768251841929,0.442092726499362,-0.128383893845603
"16",2002,"AL","Sue  Schmitz",0.0769364061687749,0.551184294281216,-0.205351505242288
"17",2002,"AL","Yolanda ""Yo Yo"" Riddle",-0.231267345050879,0.362863394810878,-0.166511519509368
"18",2002,"AL","Pam  Smith",-0.165284643597512,0.358947936601403,-0.0609355951426551
"19",2002,"AL","Laura  Hall",NA,NA,-0.0323831008980051
"20",2002,"AL","Pam  Miles",-0.135952195742875,0.47044951175115,-0.261994641646743
"21",2002,"AL","Becky  Nordgren",-0.153328643039311,0.295290135230338,-0.157996168965474
"22",2002,"AL","Barbara Bigsby Boyd",0.230042656916514,0.50768756550151,-0.115293110185303
"23",2002,"AL","Clara  Curtis",-0.117026662166723,0.334912363808621,-0.101940047554672
"24",2002,"AL","Mary Sue McClurkin",NA,NA,-0.0313084350898862
"25",2002,"AL","Marilyn  Quarles",-0.228930307941653,0.403835687443307,-0.198261767579243
